vendor_id,pickup_datetime,dropoff_datetime,passenger_count,trip_distance,p_lon,p_lat,rate_code,store_and_fwd_flag,d_lon,d_lat,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,imp_surcharge,total_amount
1,2016-06-15 06:33:11 UTC,2016-06-15 06:39:28 UTC,1,1.0,-73.98290252685547,40.742225646972656,1,N,-73.99159240722656,40.75032043457031,1,6.0,0.0,0.5,1.35,0.0,0.3,8.15
2,2016-06-15 06:33:12 UTC,2016-06-15 06:41:03 UTC,1,1.9,-73.9715576171875,40.75783920288085,1,N,-73.99246215820312,40.743350982666016,1,8.5,0.0,0.5,2.32,0.0,0.3,11.62
1,2016-06-15 06:33:14 UTC,2016-06-15 06:37:19 UTC,1,0.6,-73.97503662109375,40.7617301940918,1,N,-73.97808074951173,40.75391006469727,1,5.0,0.0,0.5,1.0,0.0,0.3,6.8
2,2016-06-15 06:33:20 UTC,2016-06-15 06:39:58 UTC,1,1.25,-73.99388122558595,40.75149917602539,1,N,-73.97714233398438,40.75434112548828,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3
1,2016-06-15 06:33:21 UTC,2016-06-15 06:34:43 UTC,1,0.5,-73.97537994384766,40.7522087097168,1,N,-73.98030853271484,40.74581909179688,2,3.5,0.0,0.5,0.0,0.0,0.3,4.3
1,2016-06-15 06:33:22 UTC,2016-06-15 06:37:04 UTC,1,0.7,-73.99325561523438,40.75774383544922,1,N,-73.99925994873048,40.75069046020508,1,5.0,0.0,0.5,3.0,0.0,0.3,8.8
2,2016-06-15 06:33:23 UTC,2016-06-15 06:38:27 UTC,1,1.31,-73.981201171875,40.74174880981445,1,N,-73.98377227783203,40.75434112548828,1,6.0,0.0,0.5,1.0,0.0,0.3,7.8
2,2016-06-15 06:33:25 UTC,2016-06-15 06:38:07 UTC,2,0.68,-73.98190307617188,40.74660110473633,1,N,-73.99237823486328,40.74951934814453,1,5.0,0.0,0.5,0.5,0.0,0.3,6.3
1,2016-06-15 06:33:26 UTC,2016-06-15 06:36:55 UTC,1,0.5,-73.9760971069336,40.74501419067383,1,N,-73.98456573486328,40.748497009277344,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3
1,2016-06-15 06:33:27 UTC,2016-06-15 06:37:24 UTC,1,0.4,-73.97286224365234,40.74754333496094,1,N,-73.98048400878906,40.75090789794922,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3
1,2016-06-15 06:33:28 UTC,2016-06-15 06:39:28 UTC,1,1.1,-73.99469757080078,40.75048828125,1,N,-73.98356628417969,40.76118087768555,2,6.5,0.0,0.5,0.0,0.0,0.3,7.3
1,2016-06-15 06:33:31 UTC,2016-06-15 06:39:41 UTC,1,1.3,-73.96382141113281,40.7614631652832,1,N,-73.9771957397461,40.74786758422852,1,7.0,0.0,0.5,1.55,0.0,0.3,9.35
1,2016-06-15 06:33:31 UTC,2016-06-15 06:36:30 UTC,1,0.7,-73.99050903320312,40.75585174560547,1,N,-73.98201751708984,40.76215744018555,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3
2,2016-06-15 06:33:36 UTC,2016-06-15 06:39:15 UTC,1,1.27,-73.98065185546875,40.7424430847168,1,N,-73.98397827148438,40.75500869750977,1,6.5,0.0,0.5,0.7,0.0,0.3,8.0
2,2016-06-15 06:33:36 UTC,2016-06-15 06:39:26 UTC,5,1.08,-73.9752426147461,40.75268173217773,1,N,-73.97482299804686,40.741920471191406,1,6.0,0.0,0.5,1.36,0.0,0.3,8.16
2,2016-06-15 06:33:46 UTC,2016-06-15 06:37:24 UTC,1,0.97,-73.97821807861328,40.752605438232415,1,N,-73.97871398925781,40.76240158081055,1,5.0,0.0,0.5,1.45,0.0,0.3,7.25
1,2016-06-15 06:33:46 UTC,2016-06-15 06:39:14 UTC,1,1.1,-73.99034881591797,40.75653076171875,1,N,-73.97547912597656,40.75835418701172,1,6.0,0.0,0.5,1.0,0.0,0.3,7.8
2,2016-06-15 06:33:48 UTC,2016-06-15 06:48:03 UTC,1,2.57,-73.99092864990234,40.7510986328125,1,N,-73.9606704711914,40.761619567871094,2,11.5,0.0,0.5,0.0,0.0,0.3,12.3
